"_id.Fisher ID",_id.reportDate,reportName,reportDate,group,category,Fisher ID,Shoot Start,Shoot Start Location,Shoot Finish,Shoot Finish Location,Shot Depth (m),Haul Start,Haul End,Comments (Catch),Main Species Index,Main Species,Main Catch Weight (kg),Record Bycatch (Y/N),Fishing Gear,Bait Used,No Hooks,Line Length (m),Mitigation Study,Mitigation type,Fisher Sampling (Y/N),Comments,Bycatch Index,Bycatch Species,Individual / Group,Sex,Alive Count,Dead Count,Retained Count,Total Alive Weight (kg),Total Dead Weight (kg),Total Retained Weight (Kg),Photo (First),Sampled Species Index,Sampled Species,Number of Individuals,Length Category,Sex (Sampled Species),Comments (Sampled Species),AST Correlation ID,APP Correlation ID,Uploaded Date
FM000023,2021-11-15T00:00:00.000Z,FM000023,2021-11-15T00:00:00.000Z,1.0,LINES,FM000023,2021-11-15T07:00:00.000Z,"50.3239524414054,-4.68670766669372",2021-11-15T10:30:00.000Z,"50.2770622317104,-4.77706263506399",15,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,NA,0,Mackerel,140,N,Hook & Line,,50,0,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,09032e76-e1e1-47f8-abd9-993b275e4486,082BC7590446EC11AEF2C13831CEA4BA,2021-11-15T11:10:25.651Z
FM000016,2021-08-09T00:00:00.000Z,FM000016,2021-08-09T00:00:00.000Z,1.0,LINES,FM000016,2021-08-09T00:00:00.000Z,"50.3125629501943,-4.68023243855851",1899-12-30T00:00:00.000Z,"50.3112596242888,-4.67248261007462",6,1899-12-30T00:00:00.000Z,2021-08-09T19:00:00.000Z,NA,0,Bass,1,Y,Hook & Line,lure,10,50,N,NA,N,NA,0,,Group,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aabbc26c-ebe3-4f78-a33c-d1812b1d650a,B86CE02444F9EB11B4F00B7D5D2BCB73,2021-08-09T19:05:02.096Z
FM000016,2021-08-09T00:00:00.000Z,FM000016,2021-08-09T00:00:00.000Z,1.0,LINES,FM000016,2021-08-09T00:00:00.000Z,"50.3125629501943,-4.68023243855851",1899-12-30T00:00:00.000Z,"50.3112596242888,-4.67248261007462",6,1899-12-30T00:00:00.000Z,2021-08-09T19:00:00.000Z,NA,0,Bass,1,Y,Hook & Line,lure,10,50,N,NA,N,NA,1,,Group,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aabbc26c-ebe3-4f78-a33c-d1812b1d650a,B86CE02444F9EB11B4F00B7D5D2BCB73,2021-08-09T19:05:02.096Z
FM000016,2021-08-09T00:00:00.000Z,FM000016,2021-08-09T00:00:00.000Z,1.0,LINES,FM000016,2021-08-09T00:00:00.000Z,"50.3125629501943,-4.68023243855851",1899-12-30T00:00:00.000Z,"50.3112596242888,-4.67248261007462",6,1899-12-30T00:00:00.000Z,2021-08-09T19:00:00.000Z,NA,0,Bass,1,Y,Hook & Line,lure,10,50,N,NA,N,NA,2,Northern Gannet,Individual,Unknown,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aabbc26c-ebe3-4f78-a33c-d1812b1d650a,B86CE02444F9EB11B4F00B7D5D2BCB73,2021-08-09T19:05:02.096Z
FM000016,2021-08-09T00:00:00.000Z,FM000016,2021-08-09T00:00:00.000Z,1.0,LINES,FM000016,2021-07-09T17:20:00.000Z,"50.3120138869614,-4.67070059462356",2021-07-09T19:45:00.000Z,"50.3403083616135,-4.70534414414678",4,2021-07-09T17:20:00.000Z,2021-07-09T19:45:00.000Z,NA,0,Bass,6,N,Hook & Line,lures,10,40,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,de8dbb5c-a756-47a9-943a-37255a269de0,A09306A9F8E0EB11BFF7B13DB2A7440A,2021-08-09T19:05:01.007Z
FM000023,2021-10-24T00:00:00.000Z,FM000023,2021-10-24T00:00:00.000Z,1.0,LINES,FM000023,2021-10-24T00:00:00.000Z,"50.2710034528076,-4.77778877284284",2021-10-23T10:00:00.000Z,"50.2770730446648,-4.77711973778247",15,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,NA,0,Mackerel,375,N,Hook & Line,,50,0,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3f163b9b-fb09-4bec-b639-867542e42e07,401413688B34EC11B0AB25C988D93299,2021-10-24T05:31:53.448Z
FM000023,2021-06-17T00:00:00.000Z,FM000023,2021-06-17T00:00:00.000Z,1.0,LINES,FM000023,2021-06-14T00:00:00.000Z,"50.2639680068926,-4.71238687217118",2021-06-14T14:30:00.000Z,"50.2984221748942,-4.56606717955592",45,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,NA,0,Bass,38,N,Handline,lure,10,20,N,NA,N,3 lines with one lure on each,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4da634d0-cb71-497f-bf04-c6fd156db796,FE082E7197CFEB1189250D62791748CC,2021-06-17T18:14:41.106Z
FM000023,2021-06-17T00:00:00.000Z,FM000023,2021-06-17T00:00:00.000Z,1.0,LINES,FM000023,2021-06-16T06:30:00.000Z,"50.2460099018736,-4.74632786146592",2021-06-16T10:00:00.000Z,"50.2954984991751,-4.62098148498391",50,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,NA,0,Bass,6,N,Handline,lure,10,20,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402f892f-6aaf-4239-b427-f2abe952697a,0EB1D96E3BCFEB11B896F9148EB99B15,2021-06-17T18:14:39.155Z
FM000016,2021-11-02T00:00:00.000Z,FM000016,2021-11-02T00:00:00.000Z,1.0,LINES,FM000016,2021-11-01T11:00:00.000Z,"50.3267104347244,-4.64600533298486",2021-11-01T16:00:00.000Z,"50.3267190441469,-4.64830556231907",10,2021-11-01T11:00:00.000Z,2021-11-01T16:00:00.000Z,NA,0,Bass,50,N,Pole & Line,lures,10,50,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,022a603c-92a7-4424-8d3e-f1f0a3a2c201,98D02CFD243CEC1192B39F09774DC6B3,2021-11-02T21:46:04.357Z
FM000023,2021-10-31T00:00:00.000Z,FM000023,2021-10-31T00:00:00.000Z,1.0,LINES,FM000023,2021-10-31T06:30:00.000Z,"50.2603358195695,-4.77321442625885",2021-10-31T08:30:00.000Z,NA,14,1899-12-30T00:00:00.000Z,1899-12-30T00:00:00.000Z,NA,0,Mackerel,220,N,,,50,0,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,855c5f3d-72dc-4cd9-b042-45ad249e9fc6,FE784C35433AEC11B45401E2A9FCC892,2021-10-31T12:09:17.889Z
