"TL","Freq","wtMean"
5,2,17.367246806147
7,3,17.367246806147
8,1,17.367246806147
14,5,17.367246806147
14.5,20,17.367246806147
15,148,17.367246806147
15.5,321,17.367246806147
16,564,17.367246806147
16.5,617,17.367246806147
17,877,17.367246806147
17.5,754,17.367246806147
18,858,17.367246806147
18.5,576,17.367246806147
19,295,17.367246806147
19.5,182,17.367246806147
20,88,17.367246806147
20.5,48,17.367246806147
21,19,17.367246806147
21.5,15,17.367246806147
22,5,17.367246806147
22.5,2,17.367246806147
23,1,17.367246806147
