"TL","Month","Freq","wtMean"
5,"Jan",1,17.2957142857143
7,"Jan",0,17.2957142857143
8,"Jan",0,17.2957142857143
14,"Jan",1,17.2957142857143
14.5,"Jan",6,17.2957142857143
15,"Jan",27,17.2957142857143
15.5,"Jan",59,17.2957142857143
16,"Jan",162,17.2957142857143
16.5,"Jan",166,17.2957142857143
17,"Jan",269,17.2957142857143
17.5,"Jan",208,17.2957142857143
18,"Jan",241,17.2957142857143
18.5,"Jan",134,17.2957142857143
19,"Jan",78,17.2957142857143
19.5,"Jan",32,17.2957142857143
20,"Jan",13,17.2957142857143
20.5,"Jan",3,17.2957142857143
21,"Jan",0,17.2957142857143
21.5,"Jan",0,17.2957142857143
22,"Jan",0,17.2957142857143
22.5,"Jan",0,17.2957142857143
23,"Jan",0,17.2957142857143
5,"Feb",1,17.5978571428571
7,"Feb",1,17.5978571428571
8,"Feb",0,17.5978571428571
14,"Feb",0,17.5978571428571
14.5,"Feb",4,17.5978571428571
15,"Feb",19,17.5978571428571
15.5,"Feb",52,17.5978571428571
16,"Feb",38,17.5978571428571
16.5,"Feb",72,17.5978571428571
17,"Feb",120,17.5978571428571
17.5,"Feb",106,17.5978571428571
18,"Feb",76,17.5978571428571
18.5,"Feb",70,17.5978571428571
19,"Feb",26,17.5978571428571
19.5,"Feb",49,17.5978571428571
20,"Feb",27,17.5978571428571
20.5,"Feb",23,17.5978571428571
21,"Feb",7,17.5978571428571
21.5,"Feb",7,17.5978571428571
22,"Feb",1,17.5978571428571
22.5,"Feb",0,17.5978571428571
23,"Feb",1,17.5978571428571
5,"Sep",0,17.14
7,"Sep",0,17.14
8,"Sep",0,17.14
14,"Sep",1,17.14
14.5,"Sep",4,17.14
15,"Sep",39,17.14
15.5,"Sep",88,17.14
16,"Sep",203,17.14
16.5,"Sep",192,17.14
17,"Sep",229,17.14
17.5,"Sep",208,17.14
18,"Sep",225,17.14
18.5,"Sep",119,17.14
19,"Sep",54,17.14
19.5,"Sep",26,17.14
20,"Sep",9,17.14
20.5,"Sep",3,17.14
21,"Sep",0,17.14
21.5,"Sep",0,17.14
22,"Sep",0,17.14
22.5,"Sep",0,17.14
23,"Sep",0,17.14
5,"Nov",0,17.652
7,"Nov",0,17.652
8,"Nov",0,17.652
14,"Nov",0,17.652
14.5,"Nov",3,17.652
15,"Nov",11,17.652
15.5,"Nov",28,17.652
16,"Nov",78,17.652
16.5,"Nov",98,17.652
17,"Nov",136,17.652
17.5,"Nov",132,17.652
18,"Nov",221,17.652
18.5,"Nov",142,17.652
19,"Nov",85,17.652
19.5,"Nov",43,17.652
20,"Nov",17,17.652
20.5,"Nov",4,17.652
21,"Nov",2,17.652
21.5,"Nov",0,17.652
22,"Nov",0,17.652
22.5,"Nov",0,17.652
23,"Nov",0,17.652
5,"Dec",0,17.3362930077691
7,"Dec",2,17.3362930077691
8,"Dec",1,17.3362930077691
14,"Dec",3,17.3362930077691
14.5,"Dec",3,17.3362930077691
15,"Dec",52,17.3362930077691
15.5,"Dec",94,17.3362930077691
16,"Dec",83,17.3362930077691
16.5,"Dec",89,17.3362930077691
17,"Dec",123,17.3362930077691
17.5,"Dec",100,17.3362930077691
18,"Dec",95,17.3362930077691
18.5,"Dec",111,17.3362930077691
19,"Dec",52,17.3362930077691
19.5,"Dec",32,17.3362930077691
20,"Dec",22,17.3362930077691
20.5,"Dec",15,17.3362930077691
21,"Dec",10,17.3362930077691
21.5,"Dec",8,17.3362930077691
22,"Dec",4,17.3362930077691
22.5,"Dec",2,17.3362930077691
23,"Dec",0,17.3362930077691
