"TL","year","source","fishingseason","Freq","wtMean"
14,2017,"processor","2017-2018",1,19.2853668156718
15,2017,"processor","2017-2018",19,19.2853668156718
15.5,2017,"processor","2017-2018",1,19.2853668156718
16,2017,"processor","2017-2018",87,19.2853668156718
16.5,2017,"processor","2017-2018",16,19.2853668156718
17,2017,"processor","2017-2018",187,19.2853668156718
17.5,2017,"processor","2017-2018",53,19.2853668156718
18,2017,"processor","2017-2018",526,19.2853668156718
18.5,2017,"processor","2017-2018",217,19.2853668156718
19,2017,"processor","2017-2018",924,19.2853668156718
19.5,2017,"processor","2017-2018",255,19.2853668156718
20,2017,"processor","2017-2018",1020,19.2853668156718
20.5,2017,"processor","2017-2018",214,19.2853668156718
21,2017,"processor","2017-2018",577,19.2853668156718
21.5,2017,"processor","2017-2018",96,19.2853668156718
22,2017,"processor","2017-2018",182,19.2853668156718
22.5,2017,"processor","2017-2018",21,19.2853668156718
23,2017,"processor","2017-2018",70,19.2853668156718
23.5,2017,"processor","2017-2018",7,19.2853668156718
24,2017,"processor","2017-2018",10,19.2853668156718
24.5,2017,"processor","2017-2018",2,19.2853668156718
25,2017,"processor","2017-2018",1,19.2853668156718
14,2018,"processor","2017-2018",1,19.2853668156718
14.5,2018,"processor","2017-2018",3,19.2853668156718
15,2018,"processor","2017-2018",2,19.2853668156718
15.5,2018,"processor","2017-2018",9,19.2853668156718
16,2018,"processor","2017-2018",18,19.2853668156718
16.5,2018,"processor","2017-2018",88,19.2853668156718
17,2018,"processor","2017-2018",128,19.2853668156718
17.5,2018,"processor","2017-2018",255,19.2853668156718
18,2018,"processor","2017-2018",294,19.2853668156718
18.5,2018,"processor","2017-2018",609,19.2853668156718
19,2018,"processor","2017-2018",450,19.2853668156718
19.5,2018,"processor","2017-2018",593,19.2853668156718
20,2018,"processor","2017-2018",268,19.2853668156718
20.5,2018,"processor","2017-2018",216,19.2853668156718
21,2018,"processor","2017-2018",78,19.2853668156718
21.5,2018,"processor","2017-2018",65,19.2853668156718
22,2018,"processor","2017-2018",20,19.2853668156718
22.5,2018,"processor","2017-2018",16,19.2853668156718
23,2018,"processor","2017-2018",6,19.2853668156718
24.5,2018,"processor","2017-2018",1,19.2853668156718
16.5,2018,"fisher","2018-2019",2,20.3323776860833
17,2018,"fisher","2018-2019",94,20.3323776860833
17.5,2018,"fisher","2018-2019",195,20.3323776860833
18,2018,"fisher","2018-2019",626,20.3323776860833
18.5,2018,"fisher","2018-2019",1054,20.3323776860833
19,2018,"fisher","2018-2019",1738,20.3323776860833
19.5,2018,"fisher","2018-2019",1910,20.3323776860833
20,2018,"fisher","2018-2019",3292,20.3323776860833
20.5,2018,"fisher","2018-2019",2895,20.3323776860833
21,2018,"fisher","2018-2019",2501,20.3323776860833
21.5,2018,"fisher","2018-2019",2028,20.3323776860833
22,2018,"fisher","2018-2019",1321,20.3323776860833
22.5,2018,"fisher","2018-2019",560,20.3323776860833
23,2018,"fisher","2018-2019",275,20.3323776860833
23.5,2018,"fisher","2018-2019",88,20.3323776860833
24,2018,"fisher","2018-2019",59,20.3323776860833
24.5,2018,"fisher","2018-2019",23,20.3323776860833
10,2018,"processor","2018-2019",1,18.3849394028968
12,2018,"processor","2018-2019",1,18.3849394028968
13,2018,"processor","2018-2019",1,18.3849394028968
13.5,2018,"processor","2018-2019",1,18.3849394028968
14,2018,"processor","2018-2019",7,18.3849394028968
14.5,2018,"processor","2018-2019",16,18.3849394028968
15,2018,"processor","2018-2019",133,18.3849394028968
15.5,2018,"processor","2018-2019",304,18.3849394028968
16,2018,"processor","2018-2019",919,18.3849394028968
16.5,2018,"processor","2018-2019",1013,18.3849394028968
17,2018,"processor","2018-2019",1977,18.3849394028968
17.5,2018,"processor","2018-2019",2155,18.3849394028968
18,2018,"processor","2018-2019",3529,18.3849394028968
18.5,2018,"processor","2018-2019",2369,18.3849394028968
19,2018,"processor","2018-2019",2723,18.3849394028968
19.5,2018,"processor","2018-2019",1396,18.3849394028968
20,2018,"processor","2018-2019",1685,18.3849394028968
20.5,2018,"processor","2018-2019",705,18.3849394028968
21,2018,"processor","2018-2019",778,18.3849394028968
21.5,2018,"processor","2018-2019",189,18.3849394028968
22,2018,"processor","2018-2019",191,18.3849394028968
22.5,2018,"processor","2018-2019",41,18.3849394028968
23,2018,"processor","2018-2019",33,18.3849394028968
23.5,2018,"processor","2018-2019",4,18.3849394028968
24,2018,"processor","2018-2019",5,18.3849394028968
25,2018,"processor","2018-2019",1,18.3849394028968
26.5,2018,"processor","2018-2019",1,18.3849394028968
16,2019,"processor","2018-2019",1,18.3849394028968
17,2019,"processor","2018-2019",5,18.3849394028968
17.5,2019,"processor","2018-2019",5,18.3849394028968
18,2019,"processor","2018-2019",12,18.3849394028968
18.5,2019,"processor","2018-2019",7,18.3849394028968
19,2019,"processor","2018-2019",25,18.3849394028968
19.5,2019,"processor","2018-2019",5,18.3849394028968
20,2019,"processor","2018-2019",27,18.3849394028968
20.5,2019,"processor","2018-2019",8,18.3849394028968
21,2019,"processor","2018-2019",17,18.3849394028968
21.5,2019,"processor","2018-2019",4,18.3849394028968
22,2019,"processor","2018-2019",4,18.3849394028968
11,2019,"fisher","2019-2020",18,19.9592671108419
11.5,2019,"fisher","2019-2020",12,19.9592671108419
12,2019,"fisher","2019-2020",17,19.9592671108419
12.5,2019,"fisher","2019-2020",21,19.9592671108419
13,2019,"fisher","2019-2020",14,19.9592671108419
13.5,2019,"fisher","2019-2020",10,19.9592671108419
14,2019,"fisher","2019-2020",0,19.9592671108419
14.5,2019,"fisher","2019-2020",0,19.9592671108419
15,2019,"fisher","2019-2020",1,19.9592671108419
15.5,2019,"fisher","2019-2020",2,19.9592671108419
16,2019,"fisher","2019-2020",17,19.9592671108419
16.5,2019,"fisher","2019-2020",55,19.9592671108419
17,2019,"fisher","2019-2020",165,19.9592671108419
17.5,2019,"fisher","2019-2020",182,19.9592671108419
18,2019,"fisher","2019-2020",333,19.9592671108419
18.5,2019,"fisher","2019-2020",343,19.9592671108419
19,2019,"fisher","2019-2020",482,19.9592671108419
19.5,2019,"fisher","2019-2020",520,19.9592671108419
20,2019,"fisher","2019-2020",698,19.9592671108419
20.5,2019,"fisher","2019-2020",732,19.9592671108419
21,2019,"fisher","2019-2020",892,19.9592671108419
21.5,2019,"fisher","2019-2020",605,19.9592671108419
22,2019,"fisher","2019-2020",484,19.9592671108419
22.5,2019,"fisher","2019-2020",257,19.9592671108419
23,2019,"fisher","2019-2020",112,19.9592671108419
23.5,2019,"fisher","2019-2020",40,19.9592671108419
24,2019,"fisher","2019-2020",25,19.9592671108419
24.5,2019,"fisher","2019-2020",7,19.9592671108419
25,2019,"fisher","2019-2020",1,19.9592671108419
