"TL","Month","Freq","wtMean"
6.5,"Aug",0,17.310625
7.5,"Aug",0,17.310625
8,"Aug",0,17.310625
8.5,"Aug",0,17.310625
13,"Aug",6,17.310625
13.5,"Aug",8,17.310625
14,"Aug",27,17.310625
14.5,"Aug",38,17.310625
15,"Aug",55,17.310625
15.5,"Aug",24,17.310625
16,"Aug",86,17.310625
16.5,"Aug",72,17.310625
17,"Aug",108,17.310625
17.5,"Aug",69,17.310625
18,"Aug",68,17.310625
18.5,"Aug",46,17.310625
19,"Aug",72,17.310625
19.5,"Aug",23,17.310625
20,"Aug",37,17.310625
20.5,"Aug",14,17.310625
21,"Aug",22,17.310625
21.5,"Aug",9,17.310625
22,"Aug",13,17.310625
22.5,"Aug",1,17.310625
23,"Aug",1,17.310625
23.5,"Aug",1,17.310625
24,"Aug",0,17.310625
6.5,"Sep",0,19.5855555555556
7.5,"Sep",0,19.5855555555556
8,"Sep",0,19.5855555555556
8.5,"Sep",0,19.5855555555556
13,"Sep",0,19.5855555555556
13.5,"Sep",0,19.5855555555556
14,"Sep",0,19.5855555555556
14.5,"Sep",0,19.5855555555556
15,"Sep",5,19.5855555555556
15.5,"Sep",0,19.5855555555556
16,"Sep",10,19.5855555555556
16.5,"Sep",3,19.5855555555556
17,"Sep",28,19.5855555555556
17.5,"Sep",7,19.5855555555556
18,"Sep",41,19.5855555555556
18.5,"Sep",11,19.5855555555556
19,"Sep",94,19.5855555555556
19.5,"Sep",7,19.5855555555556
20,"Sep",106,19.5855555555556
20.5,"Sep",8,19.5855555555556
21,"Sep",81,19.5855555555556
21.5,"Sep",3,19.5855555555556
22,"Sep",41,19.5855555555556
22.5,"Sep",0,19.5855555555556
23,"Sep",5,19.5855555555556
23.5,"Sep",0,19.5855555555556
24,"Sep",0,19.5855555555556
6.5,"Oct",0,20.4933333333333
7.5,"Oct",0,20.4933333333333
8,"Oct",0,20.4933333333333
8.5,"Oct",0,20.4933333333333
13,"Oct",0,20.4933333333333
13.5,"Oct",0,20.4933333333333
14,"Oct",0,20.4933333333333
14.5,"Oct",0,20.4933333333333
15,"Oct",1,20.4933333333333
15.5,"Oct",0,20.4933333333333
16,"Oct",1,20.4933333333333
16.5,"Oct",0,20.4933333333333
17,"Oct",2,20.4933333333333
17.5,"Oct",1,20.4933333333333
18,"Oct",9,20.4933333333333
18.5,"Oct",0,20.4933333333333
19,"Oct",52,20.4933333333333
19.5,"Oct",1,20.4933333333333
20,"Oct",95,20.4933333333333
20.5,"Oct",1,20.4933333333333
21,"Oct",63,20.4933333333333
21.5,"Oct",2,20.4933333333333
22,"Oct",50,20.4933333333333
22.5,"Oct",1,20.4933333333333
23,"Oct",17,20.4933333333333
23.5,"Oct",0,20.4933333333333
24,"Oct",4,20.4933333333333
6.5,"Nov",1,17.7925
7.5,"Nov",7,17.7925
8,"Nov",29,17.7925
8.5,"Nov",13,17.7925
13,"Nov",0,17.7925
13.5,"Nov",0,17.7925
14,"Nov",1,17.7925
14.5,"Nov",2,17.7925
15,"Nov",4,17.7925
15.5,"Nov",10,17.7925
16,"Nov",17,17.7925
16.5,"Nov",25,17.7925
17,"Nov",57,17.7925
17.5,"Nov",37,17.7925
18,"Nov",90,17.7925
18.5,"Nov",31,17.7925
19,"Nov",89,17.7925
19.5,"Nov",26,17.7925
20,"Nov",77,17.7925
20.5,"Nov",17,17.7925
21,"Nov",39,17.7925
21.5,"Nov",9,17.7925
22,"Nov",14,17.7925
22.5,"Nov",1,17.7925
23,"Nov",4,17.7925
23.5,"Nov",0,17.7925
24,"Nov",0,17.7925
