"TL","Freq","wtMean"
6.5,1,18.3653488372093
7.5,7,18.3653488372093
8,29,18.3653488372093
8.5,13,18.3653488372093
13,6,18.3653488372093
13.5,8,18.3653488372093
14,28,18.3653488372093
14.5,40,18.3653488372093
15,65,18.3653488372093
15.5,34,18.3653488372093
16,114,18.3653488372093
16.5,100,18.3653488372093
17,195,18.3653488372093
17.5,114,18.3653488372093
18,208,18.3653488372093
18.5,88,18.3653488372093
19,307,18.3653488372093
19.5,57,18.3653488372093
20,315,18.3653488372093
20.5,40,18.3653488372093
21,205,18.3653488372093
21.5,23,18.3653488372093
22,118,18.3653488372093
22.5,3,18.3653488372093
23,27,18.3653488372093
23.5,1,18.3653488372093
24,4,18.3653488372093
