Data for Tag A17984 which is a G5_LL
File created using G5 Host version 7.8.0.0

Comment :- Downloaded on 16-03-2022

The following data are the ID block contents
**** Tag Details ****
Firmware Version No,3
Firmware Build Level,80


The following data are the Lifetime notebook contents
Tag ID,A17984
Pressure Range ,10
No of sensors ,2


The following data are the Deployment notebook contents
Start,Stop,Logging Rate,Sensors,Resolution,Fast Rate,Repeat Rate,Repeat Count
23/11/2021 14:59:00,28/02/2022 13:00:00,10,P-T-,12,Not Set,0,0,

Mission Parameters
Dive Termination Percentage = 1.5%
Dive Termination Depth = 1.5m


The following data are the Daylog contents
Tags Diary
Shipped,05/10/2020 08:38:00,Host V1.2.0
Deep Sleep,05/10/2020 08:38:00,
Deep Sleep,05/10/2020 08:38:00,
Clock Set,13/11/2020 12:47:00,
Deployment,13/11/2020 13:03:00,Host V7.8.0
Download,13/11/2020 13:52:00,Host V7.8.0
Deep Sleep,13/11/2020 13:53:00,
Download,13/11/2020 14:04:00,Host V7.8.0
Deep Sleep,13/11/2020 13:55:00,
Clock Set,24/11/2020 10:42:00,
Deployment,24/11/2020 10:45:00,Host V7.8.0
Download,24/11/2020 11:08:00,Host V7.8.0
Deep Sleep,24/11/2020 11:09:00,
Clock Set,24/11/2020 11:29:00,
Clock Set,24/11/2020 11:29:00,
Deployment,24/11/2020 11:33:00,Host V7.8.0
Download,08/02/2021 13:55:00,Host V7.8.0
Deep Sleep,08/02/2021 13:56:00,
Deployment,22/11/2021 06:59:00,Host V7.8.0
Download,03/03/2022 15:17:00,Host V7.8.0
Deep Sleep,20/05/2021 23:21:00,
Total Days Alive = 179
7680

Daylog data for last deployment
Mission Day,Date,Max Temp,Min Temp,Max Depth,Min Depth,Batt Volts
0,22/11/2021,21.328,10.547,0.84,0.34,3.07
1,23/11/2021,19.609,7.438,0.84,0.59,3.12
2,24/11/2021,15.219,9.438,56.62,0.56,3.13
3,25/11/2021,13.844,7.297,39.06,0.43,3.12
4,26/11/2021,12.172,6.969,0.71,0.28,3.12
5,27/11/2021,12.688,6.109,0.53,0.25,3.12
6,28/11/2021,13.594,2.813,0.56,0.37,3.11
7,29/11/2021,13.313,3.781,58.06,0.40,3.12
8,30/11/2021,15.000,6.688,37.68,0.53,3.12
9,01/12/2021,15.859,9.469,0.56,0.34,3.12
10,02/12/2021,16.859,6.125,0.75,0.43,3.12
11,03/12/2021,16.563,10.500,0.75,0.56,3.12
12,04/12/2021,16.625,9.609,0.71,0.56,3.12
13,05/12/2021,17.844,6.609,0.87,0.65,3.12
14,06/12/2021,19.703,5.031,0.90,0.65,3.12
15,07/12/2021,14.250,8.500,0.87,0.46,3.12
16,08/12/2021,15.469,7.172,0.68,0.46,3.12
17,09/12/2021,15.219,5.734,0.75,0.53,3.12
18,10/12/2021,16.453,8.484,0.75,0.50,3.12
19,11/12/2021,13.031,9.172,0.84,0.68,3.12
20,12/12/2021,13.422,12.016,0.87,0.75,3.12
21,13/12/2021,14.688,11.844,0.87,0.75,3.12
22,14/12/2021,17.609,14.703,0.93,0.78,3.13
23,15/12/2021,18.688,15.078,1.06,0.87,3.13
24,16/12/2021,18.781,14.313,1.15,0.96,3.13
25,17/12/2021,17.375,12.328,1.15,1.06,3.13
26,18/12/2021,12.328,9.844,1.12,1.03,3.12
27,19/12/2021,9.844,7.891,1.09,0.93,3.12
28,20/12/2021,9.141,6.172,1.00,0.84,3.12
29,21/12/2021,9.281,8.375,0.84,0.75,3.12
30,22/12/2021,9.125,7.188,0.81,0.62,3.12
31,23/12/2021,19.063,8.953,0.65,0.43,3.12
32,24/12/2021,14.203,9.219,0.59,0.43,3.12
33,25/12/2021,11.453,8.375,0.53,0.40,3.12
34,26/12/2021,15.859,9.078,0.53,0.37,3.12
35,27/12/2021,13.047,9.578,0.53,0.28,3.12
36,28/12/2021,12.563,10.375,0.53,0.31,3.12
37,29/12/2021,14.781,10.203,0.62,0.46,3.12
38,30/12/2021,14.344,13.438,0.71,0.59,3.12
39,31/12/2021,14.531,13.266,0.78,0.68,3.13
40,01/01/2022,14.750,12.641,0.78,0.68,3.13
41,02/01/2022,14.688,11.531,0.78,0.65,3.13
42,03/01/2022,12.172,10.438,0.75,0.65,3.12
43,04/01/2022,12.672,8.016,0.78,0.53,3.12
44,05/01/2022,22.219,6.359,1.00,0.68,3.12
45,06/01/2022,13.969,6.453,1.03,0.87,3.12
46,07/01/2022,9.344,5.359,0.96,0.84,3.12
47,08/01/2022,10.828,5.703,0.93,0.59,3.11
48,09/01/2022,9.281,5.281,0.75,0.65,3.11
49,10/01/2022,13.422,7.797,0.84,0.68,3.12
50,11/01/2022,15.453,9.516,1.00,0.81,3.12
51,12/01/2022,21.125,8.438,1.21,0.93,3.12
52,13/01/2022,16.359,5.656,1.25,1.12,3.12
53,14/01/2022,19.609,8.125,1.25,1.06,3.12
54,15/01/2022,16.188,7.859,1.15,1.00,3.12
55,16/01/2022,12.516,7.844,1.09,1.00,3.12
56,17/01/2022,11.250,4.016,35.00,1.06,3.12
57,18/01/2022,10.766,1.516,40.31,1.06,3.11
58,19/01/2022,10.781,4.891,47.31,0.81,3.12
59,20/01/2022,10.703,5.609,48.31,1.00,3.12
60,21/01/2022,15.813,-0.406,42.00,0.68,3.11
61,22/01/2022,12.859,8.641,1.09,0.96,3.12
62,23/01/2022,8.922,6.469,1.12,1.00,3.12
63,24/01/2022,14.953,7.281,1.12,1.00,3.12
64,25/01/2022,14.125,9.625,1.28,1.06,3.12
65,26/01/2022,14.875,10.375,1.34,1.18,3.12
66,27/01/2022,16.500,10.859,1.34,1.18,3.13
67,28/01/2022,15.875,6.313,1.43,1.28,3.12
68,29/01/2022,14.922,10.047,1.37,1.21,3.12
69,30/01/2022,13.250,4.172,1.40,1.21,3.12
70,31/01/2022,12.234,7.797,1.28,1.12,3.12
71,01/02/2022,12.734,9.281,1.28,1.12,3.12
72,02/02/2022,17.172,10.125,1.21,1.09,3.12
73,03/02/2022,17.141,11.281,1.18,1.03,3.13
74,04/02/2022,16.516,10.703,1.15,0.96,3.13
75,05/02/2022,13.594,4.297,1.25,1.09,3.12
76,06/02/2022,15.703,10.438,1.15,0.93,3.13
77,07/02/2022,13.375,5.391,1.21,1.00,3.11
78,08/02/2022,15.344,10.172,1.15,1.06,3.12
79,09/02/2022,18.328,12.109,1.12,1.00,3.13
80,10/02/2022,17.219,10.031,1.12,1.00,3.13
81,11/02/2022,18.078,7.094,1.25,1.09,3.12
82,12/02/2022,14.938,9.281,1.21,0.96,3.12
83,13/02/2022,11.609,9.734,1.00,0.62,3.12
84,14/02/2022,16.047,6.484,0.84,0.62,3.12
85,15/02/2022,14.063,9.844,0.90,0.71,3.12
86,16/02/2022,16.188,12.453,0.78,0.62,3.12
87,17/02/2022,14.719,9.953,0.87,0.65,3.12
88,18/02/2022,13.203,10.391,0.87,0.53,3.13
89,19/02/2022,13.297,4.203,0.90,0.68,3.12
90,20/02/2022,12.734,9.828,0.84,0.62,3.12
91,21/02/2022,14.469,6.516,0.90,0.62,3.12
92,22/02/2022,15.688,8.875,0.93,0.75,3.12
93,23/02/2022,15.641,5.734,1.00,0.81,3.12
94,24/02/2022,14.172,9.453,0.87,0.71,3.12
95,25/02/2022,18.953,5.422,1.03,0.81,3.12
96,26/02/2022,18.672,4.844,1.09,0.90,3.12
97,27/02/2022,15.859,8.000,1.00,0.81,3.12
98,28/02/2022,15.797,9.656,0.93,0.56,3.12
99,01/03/2022,15.344,6.875,0.90,0.71,3.12
100,02/03/2022,20.563,10.453,0.93,0.75,3.13



Data Block 0
Start Time = 23/11/2021 14:59:00
Stop Time = 28/02/2022 13:00:00
Logging Rate = 10
Resolution = 12
Data points available = 0
